銘柄コード,銘柄名,前日終値,前日始値,前日高値,前日安値,前日出来高,前日RSI14,前日BB上限,前日BBミドル,前日BB下限
5842,インテグラル,2966,2857,2986,2843,79300,55.33,2984,2856,2727
6349,小森コーポレーション,1932,1833,1967,1825,1260000,86.61,1797,1624,1452
8613,丸三証券,1177,1142,1189,1126,789600,70.24,1180,1127,1074
5889,ＪＡＰＡＮ　ＥＹＥＷＥＡＲ　ＨＯＬＤＩＮＧＳ,2488,2450,2530,2402,19800,58.32,2537,2436,2335
3182,オイシックス,1670,1694,1700,1612,118100,67.52,1669,1567,1465
2752,フジオフードグループ本社,1188,1135,1188,1126,38100,74.28,1150,1102,1053
9991,ジェコス,1731,1698,1780,1694,298300,78.41,1705,1614,1523
6364,ＡＩＲＭＡＮ,2373,1940,2373,1940,490200,78.32,2163,1949,1734
409A,オリオンビール,1318,1245,1318,1227,33500,72.78,1277,1228,1179
8914,エリアリンク,1007,1030,1074,998,28700,71.45,1009,888,766
8624,いちよし証券,1525,1441,1536,1423,384900,55.58,1616,1506,1397
4475,ＨＥＮＮＧＥ,1292,1358,1359,1278,303100,57.14,1377,1277,1176
325A,ＴＥＮＴＩＡＬ,1552,1610,1610,1532,349600,53.09,1815,1537,1259
5845,全保連,1177,1150,1186,1125,158100,86.15,1119,1035,950
4058,トヨクモ,2353,2387,2443,2320,61500,65.38,2356,2180,2005
5574,ＡＢＥＪＡ,2544,2611,2611,2464,127800,59.73,2612,2349,2086
3179,シュッピン,1344,1322,1369,1300,157100,80.39,1368,1158,947
2354,安川情報システム,1184,1301,1325,1162,1330000,54.42,1566,1051,537
3547,ユニシアホールディングス,1753,1844,1844,1753,116900,57.08,1896,1690,1485
4498,サイバートラスト,1193,1165,1216,1148,150300,52.87,1246,1201,1155
5285,ヤマックス,1436,1499,1527,1426,213900,60.32,1445,1371,1297
7094,Ｇ−ＮＥＸＴＯＮＥ,1513,1465,1519,1425,74500,66.59,1487,1430,1372
6337,テセック,2815,2570,2884,2562,518400,63.63,2669,2404,2139
6522,アスタリスク,1498,1608,1618,1490,674100,49.47,2300,1745,1190
254A,ＡＩフュージョンキャピタルグループ,1188,1246,1246,1173,13600,50.9,1436,1214,992
