銘柄コード,銘柄名,前日終値,前日始値,前日高値,前日安値,前日出来高,前日RSI14,前日BB上限,前日BBミドル,前日BB下限
5284,ヤマウホールディングス,2367,2413,2430,2306,136500,72.7,2322,2252,2182
9932,杉本商事,1358,1278,1361,1250,241900,73.92,1329,1256,1182
3091,ブロンコビリー,2852,2740,2908,2675,299900,87.21,2735,2370,2005
8914,エリアリンク,1005,964,1014,938,423400,71.22,990,878,766
4058,トヨクモ,2387,2271,2388,2239,71800,68.48,2333,2164,1996
8163,サトレストランシステムズ,1440,1375,1448,1361,416800,88.2,1386,1290,1194
2585,ライフドリンク　カンパニー,1507,1495,1548,1443,897400,49.74,1606,1493,1380
9900,サガミチェーン,2161,2061,2184,2053,192100,87.66,2086,1819,1553
5449,大阪製鐵,2875,2762,2895,2722,5900,76.88,2821,2544,2267
3001,片倉工業,2869,2790,2881,2731,93600,74.05,2795,2625,2456
7421,カッパ・クリエイト,1651,1590,1667,1581,268700,77.36,1609,1539,1469
3182,オイシックス,1679,1647,1703,1638,170100,69.4,1653,1558,1462
2763,エフティグループ,1199,1156,1215,1156,90700,69.32,1187,1112,1037
